token	tag	lemma
večjih	mte:Agcnpg	velik
gradbenih	mte:Agpnpg	gradben
podjetij	mte:Ncnpg	podjetje
soočajo	mte:Vmpr3p	soočati
s	mte:Si	z
400	mte:Mdc	400
do	mte:Sg	do
500	mte:Mdc	500
milijonov	mte:Ncmpg	milijon
nepoplačanih	mte:Agpmpg	nepoplačan
dolgov	mte:Ncmpg	dolg
.	mte:Z	.
Država	mte:Ncfsn	država
naj	mte:Q	naj
dokonča	mte:Vmer3s	dokončati
avtocestni	mte:Agpmsay	avtocesten
program	mte:Ncmsan	program
in	mte:Cc	in
pospeši	mte:Vmer3s	pospešiti
gradnjo	mte:Ncfsa	gradnja
3	mte:Mdc	3
.	mte:Z	.
in	mte:Cc	in
4	mte:Mdc	4
.	mte:Z	.
razvojne	mte:Agpfsg	razvojen
osi	mte:Ncfsg	osi
,	mte:Z	,
v	mte:Sa	v
izvedbeno	mte:Agpfsa	izvedben
fazo	mte:Ncfsa	faza
naj	mte:Q	naj
premakne	mte:Vmer3s	premakniti
projekt	mte:Ncmsan	projekt
drugega	mte:Mlpmsg	drug
tira	mte:Ncmsg	tir
železnice	mte:Ncfsg	železnica
med	mte:Si	med
Divačo	mte:Npfsi	Divačo
in	mte:Cc	in
Trstom	mte:Npmsi	Trst
ter	mte:Cc	ter
pospeši	mte:Vmer3s	pospešiti
programe	mte:Ncmpa	program
gradenj	mte:Ncnpg	gradenj
objektov	mte:Ncmpg	objekt
za	mte:Sa	za
varstvo	mte:Ncnsa	varstvo
okolja	mte:Ncnsg	okolje
odlagališča	mte:Ncnsg	odlagališče
,	mte:Z	,
čistilne	mte:Agpfpa	čistilen
naprave	mte:Ncfpa	naprava
,	mte:Z	,
pozivajo	mte:Vmpr3p	pozivati
združeni	mte:Appmpn	združen
gradbinci	mte:Ncmpn	gradbinec
.	mte:Z	.
Opozarjajo	mte:Vmpr3p	opozarjati
tudi	mte:Q	tudi
na	mte:Sa	na
slabo	mte:Rgp	slabo
izkoriščen	mte:Appmsan	izkoriščen
potencial	mte:Ncmsan	potencial
kohezijskih	mte:Agpnpg	kohezijski
sredstev	mte:Ncnpg	sredstvo
Evropske	mte:Agpfsg	evropski
unije	mte:Ncfsg	unija
.	mte:Z	.
Hribar	mte:Npmsn	Hribar
Milič	mte:Npmsn	Milič
Posledice	mte:Ncfpn	posledica
so	mte:Va-r3p-n	biti
nepredvidljive	mte:Agpnpn	nepredvidljiv
Podjetja	mte:Ncnpn	podjetje
se	mte:Px------y	se
spopadajo	mte:Vmpr3p	spopadati
z	mte:Si	z
velikimi	mte:Agpfpi	velik
terjatvami	mte:Ncfpi	terjatva
,	mte:Z	,
do	mte:Sg	do
dolžnikov	mte:Ncmpg	dolžnik
so	mte:Va-r3p-n	biti
nemočna	mte:Agpnpn	nemočen
,	mte:Z	,
ti	mte:Pd-mpn	ta
pa	mte:Cc	pa
nimajo	mte:Vmpr3p-y	imeti
ukrepov	mte:Ncmpg	ukrep
za	mte:Sa	za
izpolnitev	mte:Ncfsa	izpolnitev
obveznosti	mte:Ncfsg	obveznost
.	mte:Z	.
Naročil	mte:Vmep-sm	naročiti
drastično	mte:Rgp	drastično
primanjkuje	mte:Vmpr3s	primanjkovati
,	mte:Z	,
kapacitete	mte:Ncfpn	kapaciteta
so	mte:Va-r3p-n	biti
bistveno	mte:Rgp	bistveno
preobsežne	mte:Agpfpn	preobsežen
-	mte:Z	-
davčne	mte:Agpfpn	davčen
obveznosti	mte:Ncfpn	obveznost
pa	mte:Cc	pa
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
celo	mte:Q	celo
povečale	mte:Vmep-pf	povečati
,	mte:Z	,
položaj	mte:Ncmsan	položaj
gradbeništva	mte:Ncnsg	gradbeništvo
opisuje	mte:Vmpr3s	opisovati
Hribar	mte:Npmsn	Hribar
Milič	mte:Npmsn	Milič
.	mte:Z	.
Po	mte:Sl	po
njegovih	mte:Ps3fplsm	njegov
besedah	mte:Ncfpl	beseda
ni	mte:Va-r3s-y	biti
ogroženih	mte:Appmpg	ogrožen
le	mte:Q	le
70.000	mte:Mdc	70.000
delovnih	mte:Agpnpg	deloven
mest	mte:Ncnpg	mesto
v	mte:Sl	v
gradbeništvu	mte:Ncnsl	gradbeništvo
,	mte:Z	,
temveč	mte:Cc	temveč
lahko	mte:Rgp	lahko
pričakujemo	mte:Vmpr1p	pričakovati
verigo	mte:Ncfsa	veriga
stečajev	mte:Ncmpg	stečaj
,	mte:Z	,
saj	mte:Cc	saj
je	mte:Va-r3s-n	biti
z	mte:Si	z
gradbeništvom	mte:Ncnsi	gradbeništvo
in	mte:Cc	in
investicijami	mte:Ncfpi	investicija
življenjsko	mte:Rgp	življenjski
povezanih	mte:Appfpg	povezan
kar	mte:Rgp	kar
11	mte:Mdc	11
panog	mte:Ncfpg	panoga
.	mte:Z	.
Temu	mte:Pd-nsd	ta
se	mte:Px------y	se
pridružuje	mte:Vmpr3s	pridruževati
Branko	mte:Npmsn	Branko
Selak	mte:Npmsn	Selak
,	mte:Z	,
predstavnik	mte:Ncmsn	predstavnik
zbornice	mte:Ncfsg	zbornica
za	mte:Sa	za
gradbeništvo	mte:Ncnsa	gradbeništvo
pri	mte:Sl	pri
GZS	mte:Npmsl	GZS
-	mte:Z	-
ju	mte:Pp3mda--y	on
Stečaji	mte:Ncmpn	stečaj
so	mte:Va-r3p-n	biti
na	mte:Sl	na
vidiku	mte:Ncmsl	vidik
.	mte:Z	.
Poleg	mte:Sg	poleg
močnejših	mte:Agcnpg	močen
podjetij	mte:Ncnpg	podjetje
bo	mte:Va-f3s-n	biti
to	mte:Pd-nsn	ta
prizadelo	mte:Vmep-sn	prizadeti
predvsem	mte:Q	predvsem
vrhunska	mte:Agpnpa	vrhunski
podizvajalska	mte:Agpnpa	podizvajalski
podjetja	mte:Ncnpa	podjetje
srednje	mte:Agpfsg	srednji
velikosti	mte:Ncfsg	velikost
-	mte:Z	-
ko	mte:Cs	ko
se	mte:Px------y	se
bo	mte:Va-f3s-n	biti
vrh	mte:Ncmsn	vrh
sesul	mte:Vmep-sm	sesoleti
,	mte:Z	,
bo	mte:Va-f3s-n	biti
to	mte:Pd-nsn	ta
potegnilo	mte:Vmep-sn	potegniti
za	mte:Si	za
seboj	mte:Px---i	se
bistveno	mte:Rgp	bistveno
več	mte:Rgc	več
,	mte:Z	,
kot	mte:Cs	kot
si	mte:Px---d--y	se
lahko	mte:Rgp	lahko
predstavljamo	mte:Vmpr1p	predstavljati
.	mte:Z	.
Pozval	mte:Vmep-sm	pozvati
je	mte:Va-r3s-n	biti
k	mte:Sd	k
ukinitvi	mte:Ncfsd	ukinitev
kriterija	mte:Ncmsg	kriterij
najnižje	mte:Agsfsg	nizko
cene	mte:Ncfsg	cena
pri	mte:Sl	pri
javnih	mte:Agpmpl	javen
razpisih	mte:Ncmpl	razpis
-	mte:Z	-
najnižja	mte:Agsfsn	nizek
cena	mte:Ncfsn	cena
pomeni	mte:Vmbr3s	pomeniti
tudi	mte:Q	tudi
najnižjo	mte:Agsfsa	nizek
kakovost	mte:Ncfsa	kakovost
,	mte:Z	,
trdi	mte:Vmpr3s	trditi
.	mte:Z	.
Si	mte:Px---d--y	biti
lahko	mte:Rgp	lahko
predstavljamo	mte:Vmpr1p	predstavljati
Slovenijo	mte:Npfsa	Slovenija
brez	mte:Sg	brez
avtocest	mte:Ncfpg	avtocest
?	mte:Z	?
Samo	mte:Q	samo
Medved	mte:Npmsn	Medved
iz	mte:Sg	iz
združenja	mte:Ncnsg	združenje
za	mte:Sa	za
svetovalni	mte:Agpmsay	svetovalen
inženiring	mte:Ncmsan	inženiring
pri	mte:Sl	pri
GZS	mte:Npmsl	GZS
-	mte:Z	-
ju	mte:Pp3mda--y	on
poudarja	mte:Vmpr3s	poudarjati
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
bilo	mte:Va-p-sn	biti
nesmiselno	mte:Agpfsn	nesmiseln
državo	mte:Ncfsa	država
pozivati	mte:Vmpn	pozivati
k	mte:Sd	k
vlaganju	mte:Ncnsd	vlaganje
samo	mte:Q	samo
zato	mte:Rgp	zato
,	mte:Z	,
da	mte:Cs	da
podjetja	mte:Ncnpn	podjetje
preživijo	mte:Vmer3p	preživeti
.	mte:Z	.
Vzrok	mte:Ncmsn	vzrok
krize	mte:Ncfsg	kriza
je	mte:Va-r3s-n	biti
po	mte:Sl	po
njegovem	mte:Ps3nslsm	njegov
mnenju	mte:Ncnsl	mnenje
prav	mte:Q	prav
pregrevanje	mte:Ncnsn	pregrevanje
gospodarstva	mte:Ncnsg	gospodarstvo
,	mte:Z	,
padca	mte:Ncmsg	padec
pa	mte:Cc	pa
ne	mte:Q	ne
more	mte:Vmpr3s	moči
preprečiti	mte:Vmen	preprečiti
nič	mte:Pz-nsa	nič
.	mte:Z	.
Vlado	mte:Ncfsa	vlada
poziva	mte:Vmpr3s	pozivati
le	mte:Q	le
k	mte:Sd	k
tistim	mte:Pd-fpd	tisti
investicijam	mte:Ncfpd	investicija
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
za	mte:Sa	za
državo	mte:Ncfsa	država
nujne	mte:Agpfpn	nujen
,	mte:Z	,
pri	mte:Sl	pri
tem	mte:Pd-nsl	ta
pa	mte:Cc	pa
izpostavlja	mte:Vmpr3s	izpostavljati
avtocestna	mte:Agpfsn	avtocesten
odseka	mte:Ncfsn	odsek
Draženci	mte:Npmsn	Draženec
-	mte:Z	-
Gruškovje	mte:Npnsn	Gruškovje
in	mte:Cc	in
Postojna	mte:Npfsn	Postojna
-	mte:Z	-
Jelšane	mte:Npfsn	Jelšane
,	mte:Z	,
ki	mte:Cs	ki
sta	mte:Va-r3d-n	biti
pomembna	mte:Agpmdn	pomemben
tudi	mte:Q	tudi
v	mte:Sl	v
evropskem	mte:Agpnsl	evropski
merilu	mte:Ncnsl	merilo
.	mte:Z	.
Iz	mte:Sg	iz
tega	mte:Pd-msg	ta
razloga	mte:Ncmsg	razlog
ne	mte:Q	ne
smemo	mte:Vmpr1p	smeti
ponoviti	mte:Vmen	ponoviti
pretekle	mte:Appfsg	pretekel
napake	mte:Ncfsg	napaka
in	mte:Cc	in
graditi	mte:Vmpn	graditi
samo	mte:Q	samo
z	mte:Si	z
lastnim	mte:Agpmsi	lasten
denarjem	mte:Ncmsi	denar
,	mte:Z	,
poudarja	mte:Vmpr3s	poudarjati
Medved	mte:Npmsn	Medved
,	mte:Z	,
temveč	mte:Cc	temveč
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
treba	mte:Rgp	treba
angažirati	mte:Vmbn	angažirati
za	mte:Sa	za
evropska	mte:Agpnpa	evropski
sredstva	mte:Ncnpa	sredstvo
.	mte:Z	.
Dodal	mte:Vmep-sm	dodati
je	mte:Va-r3s-n	biti
še	mte:Q	še
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
se	mte:Px------y	se
morala	mte:Vmpp-sf	morati
država	mte:Ncfsn	država
v	mte:Sl	v
tem	mte:Pd-msl	ta
primeru	mte:Ncmsl	primer
poenotiti	mte:Vmen	poenotiti
tako	mte:Rgp	tako
,	mte:Z	,
kot	mte:Cs	kot
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
pri	mte:Sl	pri
projektu	mte:Ncmsl	projekt
gradnje	mte:Ncfsg	gradnja
avtocestnega	mte:Agpmsg	avtocesten
križa	mte:Ncmsg	križ
.	mte:Z	.
Si	mte:Px---d--y	biti
lahko	mte:Rgp	lahko
še	mte:Q	še
predstavljamo	mte:Vmpr1p	predstavljati
Slovenijo	mte:Npfsa	Slovenija
brez	mte:Sg	brez
avtocest	mte:Ncfpg	avtocest
,	mte:Z	,
se	mte:Px------y	se
sprašuje	mte:Vmpr3s	spraševati
Medved	mte:Npmsn	Medved
.	mte:Z	.
Bomo	mte:Va-f1p-n	biti
,	mte:Z	,
bomo	mte:Va-f1p-n	biti
,	mte:Z	,
bomo	mte:Va-f1p-n	biti
,	mte:Z	,
a	mte:Cc	a
na	mte:Sl	na
koncu	mte:Ncmsl	konec
ni	mte:Va-r3s-y	biti
nič	mte:Pz-nsn	nič
Franc	mte:Npmsn	Franc
Bukovec	mte:Npmsn	Bukovec
,	mte:Z	,
predsednik	mte:Ncmsn	predsednik
sekcije	mte:Ncfsg	sekcija
gradbenih	mte:Agpnpg	gradben
podjetij	mte:Ncnpg	podjetje
pri	mte:Sl	pri
Obrtni	mte:Agpfsl	obrten
zbornici	mte:Ncfsl	zbornica
Slovenije	mte:Npfsg	Slovenija
,	mte:Z	,
je	mte:Va-r3s-n	biti
kot	mte:Cs	kot
največje	mte:Agsfpa	velik
težave	mte:Ncfpa	težava
izpostavil	mte:Vmep-sm	izpostaviti
pomanjkanje	mte:Ncnsa	pomanjkanje
naročil	mte:Vmep-sm	naročiti
,	mte:Z	,
neurejeno	mte:Agpfsa	neurejen
plačilno	mte:Agpfsa	plačilen
disciplino	mte:Ncfsa	disciplina
in	mte:Cc	in
splošen	mte:Agpmsan	splošen
neugoden	mte:Agpmsan	neugoden
položaj	mte:Ncmsan	položaj
podizvajalcev	mte:Ncmpg	podizvajalec
v	mte:Sl	v
odnosu	mte:Ncmsl	odnos
z	mte:Si	z
naročniki	mte:Ncmpi	naročnik
.	mte:Z	.
Po	mte:Sl	po
rednem	mte:Agpnsl	reden
sestankovanju	mte:Ncnsl	sestankovanje
s	mte:Si	z
predstavniki	mte:Ncmpi	predstavnik
države	mte:Ncfsg	država
ima	mte:Vmpr3s-n	imeti
obljub	mte:Ncfpg	obljuba
dovolj	mte:Rgp	dovolj
.	mte:Z	.
Poudaril	mte:Vmep-sm	poudariti
je	mte:Va-r3s-n	biti
,	mte:Z	,
da	mte:Cs	da
so	mte:Va-r3p-n	biti
na	mte:Sl	na
torkovem	mte:Aspmsl	torkov
sestanku	mte:Ncmsl	sestanek
predstavniki	mte:Ncmpn	predstavnik
sedmih	mte:Mlc-pg	sedem
ministrstev	mte:Ncnpg	ministrstvo
naredili	mte:Vmep-pm	narediti
korak	mte:Ncmsan	korak
naprej	mte:Rgp	naprej
in	mte:Cc	in
sprejeli	mte:Vmep-pm	sprejeti
3	mte:Mdc	3
zahteve	mte:Ncfpa	zahteva
zbornice	mte:Ncfsg	zbornica
.	mte:Z	.
Toplo	mte:Rgp	toplo
pozdravlja	mte:Vmpr3s	pozdravljati
predlagano	mte:Appfsa	predlagan
prepoved	mte:Ncfsa	prepoved
gradnje	mte:Ncfsg	gradnja
v	mte:Sl	v
lastni	mte:Agpfsl	lasten
režiji	mte:Ncfsl	režija
nad	mte:Si	nad
30	mte:Mdc	30
kvadratnih	mte:Agpmpg	kvadraten
metrov	mte:Ncmpg	meter
,	mte:Z	,
pri	mte:Sl	pri
katerem	mte:Pq-msl	kateri
naj	mte:Q	naj
bi	mte:Va-c	biti
bilo	mte:Va-p-sn	biti
skoraj	mte:Q	skoraj
90	mte:Mdc	90
odstotkov	mte:Ncmpg	odstotek
del	mte:Ncmsg	del
opravljenih	mte:Appmpg	opravljen
na	mte:Sa	na
črno	mte:Agpfsa	črn
.	mte:Z	.
Manj	mte:Rgc	manj
pa	mte:Cc	pa
je	mte:Va-r3s-n	biti
zadovoljen	mte:Agpmsnn	zadovoljen
z	mte:Si	z
napovedano	mte:Appfsi	napovedan
energetsko	mte:Agpfsi	energetski
sanacijo	mte:Ncfsi	sanacija
objektov	mte:Ncmpg	objekt
,	mte:Z	,
natančneje	mte:Rgc	natančno
z	mte:Si	z
zneskom	mte:Ncmsi	znesek
-	mte:Z	-
20	mte:Mdc	20
milijonov	mte:Ncmpg	milijon
evrov	mte:Ncmpg	evro
.	mte:Z	.
Protest	mte:Ncmsn	protest
in	mte:Cc	in
državljanska	mte:Agpfsn	državljanski
nepokorščina	mte:Ncfsn	nepokorščina
V	mte:Sl	v
OZS	mte:Npmsl	OZS
-	mte:Z	-
ju	mte:Pp3mda--y	on
so	mte:Va-r3p-n	biti
bolj	mte:Rgc	bolj
nezadovoljni	mte:Agpmpn	nezadovoljen
s	mte:Si	z
tremi	mte:Mlcfpi	trije
točkami	mte:Ncfpi	točka
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
jih	mte:Pp3mpa--y	on
vladni	mte:Agpmpn	vladen
pogajalci	mte:Ncmpn	pogajalec
zavrnili	mte:Vmep-pm	zavrniti
,	mte:Z	,
začenši	mte:Rgp	začenši
z	mte:Si	z
zakonom	mte:Ncmsi	zakon
o	mte:Sl	o
izvršbi	mte:Ncfsl	izvršba
.	mte:Z	.
Bukovec	mte:Npmsn	Bukovec
trdi	mte:Vmpr3s	trditi
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
skoraj	mte:Q	skoraj
polovica	mte:Ncfsn	polovica
njihovih	mte:Ps3mpgp	njihov
zahtevkov	mte:Ncmpg	zahtevek
in	mte:Cc	in
ugovorov	mte:Ncmpg	ugovor
zavrnjenih	mte:Appmpg	zavrnjen
,	mte:Z	,
polovica	mte:Ncfsn	polovica
pa	mte:Cc	pa
gre	mte:Vmbr3s	iti
v	mte:Sa	v
pravdni	mte:Agpmsay	pravden
postopek	mte:Ncmsan	postopek
.	mte:Z	.
Obrtniki	mte:Ncmpn	obrtnik
po	mte:Sl	po
njegovih	mte:Ps3fplsm	njegov
besedah	mte:Ncfpl	beseda
skoraj	mte:Q	skoraj
nimajo	mte:Vmpr3p-y	imeti
vpliva	mte:Ncmsg	vpliv
na	mte:Sa	na
postopek	mte:Ncmsan	postopek
in	mte:Cc	in
so	mte:Va-r3p-n	biti
soočeni	mte:Appmpn	soočen
z	mte:Si	z
izvršenimi	mte:Appnpi	izvršen
dejstvi	mte:Ncnpi	dejstvo
,	mte:Z	,
ki	mte:Cs	ki
pogosto	mte:Rgp	pogosto
vodijo	mte:Vmpr3p	voditi
v	mte:Sa	v
stečaj	mte:Ncmsan	stečaj
.	mte:Z	.
Še	mte:Q	še
hujša	mte:Agcfsn	hud
težava	mte:Ncfsn	težava
je	mte:Va-r3s-n	biti
po	mte:Sl	po
njegovem	mte:Ps3nslsm	njegov
mnenju	mte:Ncnsl	mnenje
plačilna	mte:Agpfsn	plačilen
nedisciplina	mte:Ncfsn	nedisciplina
.	mte:Z	.
Pri	mte:Sl	pri
tem	mte:Pd-nsl	ta
izpostavlja	mte:Vmpr3s	izpostavljati
nezanesljive	mte:Agpfpa	nezanesljiv
bilance	mte:Ncfpa	bilanca
poslovanja	mte:Ncnsg	poslovanje
naročnikov	mte:Ncmpg	naročnik
del	mte:Ncmsg	del
in	mte:Cc	in
prioritetno	mte:Agpnsn	prioriteten
poplačilo	mte:Ncnsa	poplačilo
banke	mte:Ncfsg	banka
v	mte:Sl	v
stečajnem	mte:Agpmsl	stečajen
postopku	mte:Ncmsl	postopek
.	mte:Z	.
Napoveduje	mte:Vmpr3s	napovedovati
vztrajanje	mte:Ncnsa	vztrajanje
pri	mte:Sl	pri
zahtevah	mte:Ncfpl	zahteva
,	mte:Z	,
kar	mte:Pr-nsa	kar
bodo	mte:Va-f3p-n	biti
podkrepili	mte:Vmep-pm	podkrepiti
najprej	mte:Rgs	najprej
s	mte:Si	z
protestom	mte:Ncmsi	protest
datum	mte:Ncmsn	datum
bo	mte:Va-f3s-n	biti
objavljen	mte:Appmsnn	objavljen
v	mte:Sa	v
četrtek	mte:Ncmsan	četrtek
,	mte:Z	,
potem	mte:Rgp	potem
pa	mte:Cc	pa
še	mte:Q	še
z	mte:Si	z
državljansko	mte:Agpfsi	državljanski
nepokorščino	mte:Ncfsi	nepokorščina
.	mte:Z	.
Bančna	mte:Agpnpn	bančen
pravila	mte:Ncnpn	pravilo
Basel	mte:Npmsn	Basel
2	mte:Mdc	2
,	mte:Z	,
rešitev	mte:Ncfsn	rešitev
za	mte:Sa	za
prihodnost	mte:Ncfsa	prihodnost
?	mte:Z	?
Združenje	mte:Ncnsa	združenje
izvajalcev	mte:Ncmpg	izvajalec
zaključnih	mte:Agpnpg	zaključen
del	mte:Ncnpg	del
pri	mte:Sl	pri
GZS	mte:Npmsl	GZS
-	mte:Z	-
ju	mte:Pp3mda--y	on
opozarja	mte:Vmpr3s	opozarjati
na	mte:Sa	na
sporne	mte:Agpmpa	sporen
načine	mte:Ncmpa	način
financiranja	mte:Ncnsg	financiranje
gradbenih	mte:Agpmpg	gradben
projektov	mte:Ncmpg	projekt
,	mte:Z	,
ko	mte:Cs	ko
so	mte:Va-r3p-n	biti
podizvajalci	mte:Ncmpn	podizvajalec
za	mte:Sa	za
sodelovanje	mte:Ncnsa	sodelovanje
tako	mte:Rgp	tako
rekoč	mte:Rr	rekoč
prisiljeni	mte:Appmpn	prisiljen
v	mte:Sa	v
status	mte:Ncmsan	status
soinvestitorja	mte:Ncmsg	soinvestitor
pri	mte:Sl	pri
projektih	mte:Ncmpl	projekt
,	mte:Z	,
ki	mte:Cs	ki
se	mte:Px------y	se
gradijo	mte:Vmpr3p	graditi
na	mte:Sa	na
kredit	mte:Ncmsan	kredit
,	mte:Z	,
kjer	mte:Cs	kjer
so	mte:Va-r3p-n	biti
krediti	mte:Ncmpn	kredit
večji	mte:Agcmpn	velik
od	mte:Sg	od
projekta	mte:Ncmsg	projekt
,	mte:Z	,
gradijo	mte:Vmpr3p	graditi
se	mte:Px------y	se
pa	mte:Cc	pa
na	mte:Sl	na
zemljiščih	mte:Ncnpl	zemljišče
,	mte:Z	,
pridobljenih	mte:Appmpl	pridobljen
na	mte:Sa	na
lizing	mte:Ncmsan	lizing
,	mte:Z	,
je	mte:Va-r3s-n	biti
dejal	mte:Vmep-sm	dejati
predsednik	mte:Ncmsn	predsednik
združenja	mte:Ncnsg	združenje
Mirko	mte:Npmsn	Mirko
Požar	mte:Npmsn	Požar
.	mte:Z	.
Predlaga	mte:Vmbr3s	predlagati
uporabo	mte:Ncfsa	uporaba
nemškega	mte:Agpmsg	nemški
model	mte:Ncmsn	model
financiranja	mte:Ncnsg	financiranje
Basel	mte:Npmsn	Basel
2	mte:Mdc	2
,	mte:Z	,
ki	mte:Cs	ki
predvideva	mte:Vmpr3s	predvidevati
za	mte:Sa	za
celoten	mte:Agpmsan	celoten
projekt	mte:Ncmsan	projekt
dva	mte:Mlcmda	dva
računa	mte:Ncmda	račun
-	mte:Z	-
enega	mte:Mlpmsa	en
za	mte:Sa	za
odlive	mte:Ncfpa	odliva
,	mte:Z	,
drugega	mte:Mlpmsa	drug
za	mte:Sa	za
prilive	mte:Ncfpa	priliva
,	mte:Z	,
vse	mte:Pg-fpa	ves
transakcije	mte:Ncfpa	transakcija
pa	mte:Cc	pa
nadzoruje	mte:Vmpr3s	nadzorovati
banka	mte:Ncfsn	banka
kot	mte:Cs	kot
vodja	mte:Ncmsn	vodja
projektnega	mte:Agpmsg	projekten
računa	mte:Ncmsg	račun
.	mte:Z	.
Projekt	mte:Ncmsn	projekt
se	mte:Px------y	se
lahko	mte:Rgp	lahko
začne	mte:Vmer3s	začeti
šele	mte:Q	šele
,	mte:Z	,
ko	mte:Cs	ko
je	mte:Va-r3s-n	biti
na	mte:Sl	na
stroškovnem	mte:Agpmsl	stroškoven
računu	mte:Ncmsl	račun
sredstev	mte:Ncnpg	sredstvo
večji	mte:Agcmsny	velik
od	mte:Sg	od
predračunske	mte:Agpfsg	predračunski
vrednosti	mte:Ncfsg	vrednost
.	mte:Z	.
Če	mte:Cs	če
država	mte:Ncfsn	država
ne	mte:Q	ne
bo	mte:Va-f3s-n	biti
hitro	mte:Rgp	hitro
ukrepala	mte:Vmpp-sf	ukrepati
,	mte:Z	,
jih	mte:Pp3mpa--y	on
bo	mte:Va-f3s-n	biti
v	mte:Sl	v
